"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B00692","CHEERS DISPATCH,INC.","SEVENTH AVE CAR SERVICE","2023","4","April","4,088","0","25"
"B02845","MIRAE CALLS INC",,"2015","10","October","22","0","8"
"B02173","ADMIRE LLP LLC",,"2025","1","January","255","0","26"
"B01751","CONCORDE EXP OF N.Y. INC",,"2015","10","October","3,278","0","10"
"B01601","YOURS CAR SERVICE INC",,"2022","6","June","1,843","0","7"
"B02334","GROUND TRAVEL SERVICES II, LTD.","GTS","2018","4","April","542","0","17"
"B02133","TWR CAR & LIMO, INC.",,"2017","6","June","6,235","0","68"
"B00170","EMUNAH CAR SERVICE INC",,"2018","9","September","811","0","4"
"B02180","PEGASUS TRANSPORT SERVICE INC.",,"2021","9","September","5","0","5"
"B03198","DD & SON, LLC.",,"2020","8","August","69","0","3"
"B01928","DISCOVER LIMO INC","INFINITY LIMO","2022","1","January","23","0","4"
"B01601","YOURS CAR SERVICE INC",,"2024","4","April","1,556","0","7"
"B01546","BELLE-ROCK OF BEACH CHANNEL INC.",,"2022","4","April","1,258","0","25"
"B01013","AMERICANA TRANSPORTATION LLC",,"2019","9","September","1,015","0","7"
"B03100","MORELOS CAR SERVICE INC.",,"2025","2","February","855","0","9"
"B01263","RACHEL'S CAR SERVICE,INC.",,"2018","7","July","2,591","0","11"
"B02148","MAVRIK TRANS INC.",,"2020","12","December","71","0","10"
"B03399","BLACKLANE NORTH AMERICA INC",,"2022","6","June","12,784","0","411"
"B02144","SILVER STAR LIMOUSINES, INC.",,"2019","12","December","336","0","13"
"B03059","VOYAGER'S CAR & LIMO,INC",,"2018","4","April","381","0","5"
"B03240","ARECIBO EXPRESS INC.",,"2022","10","October","186","0","28"
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.",,"2022","4","April","5,879","0","44"
"B03050","TORINKO NY, LLC",,"2021","8","August","43","0","9"
"B01540","ROCKAWAY VIP SERVICE INC.",,"2021","2","February","2,075","0","11"
